AIRPORTCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYNAME,CURRENCYCODE
KDI,Wolter Monginsidi,KDI,Kendari,Indonesia,IDR
KDN,Ndende,KDN,Ndende,Gabon,XAF
KDV,Kandavu,KDV,Kandavu,Fiji Islands,FJD
KEA,Keisah,KEA,Keisah,Indonesia,IDR
KED,Kaedi,KED,Kaedi,Mauritania,MRO
KEE,Kelle,KEE,Kelle,Congo,CDF
KEH,Kenmore Air Harbo,KEH,Kenmore Air Harbo,United States,USD
KEJ,Kemerovo,KEJ,Kemerovo,Russian Federation,RUB
KEK,Ekwok,KEK,Ekwok,United States,USD
KEL,Holtenau,KEL,Kiel,Germany,EUR
KEM,Kemi Tornio,KEM,Kemi/Tornio,Finland,EUR
KEN,Kenema,KEN,Kenema,Sierra Leone,SLL
KEO,Odienne,KEO,Odienne,Ivory Coast,
KEQ,Kebar,KEQ,Kebar,Indonesia,IDR
KER,Kerman,KER,Kerman,Iran,IRR
KET,Keng Tung,KET,Keng Tung,Myanmar,MMK
KEY,Kericho,KEY,Kericho,Kenya,KES
KFA,Kiffa,KFA,Kiffa,Mauritania,MRO
KFG,Kalkurung,KFG,Kalkurung,Australia,AUD
KFP,False Pass,KFP,False Pass,United States,USD
KFS,Kastamonu Apt,KFS,Kastamonu,Turkey,TRY
KGA,Kananga,KGA,Kananga,Congo (Rep. Dem.),CDF
KGB,Konge,KGB,Konge,Papua New Guinea,PGK
KGC,Kingscote,KGC,Kingscote,Australia,AUD
KGD,Kaliningrad,KGD,Kaliningrad,Russian Federation,RUB
KGF,Karaganda,KGF,Karaganda,Kazakhstan,KZT
KGG,Kedougou,KGG,Kedougou,Senegal,XOF
KGI,Kalgoorlie,KGI,Kalgoorlie,Australia,AUD
KGJ,Karonga,KGJ,Karonga,Malawi,MWK
KGK,New Koliganek,KGK,New Koliganek,United States,USD
KGL,Gregoire Kayibanda,KGL,Kigali,Ruanda,RWF
KGS,Kos,KGS,Kos,Greece,EUR
KGX,Grayling,KGX,Grayling,United States,USD
KHE,Kherson,KHE,Kherson,Ukraine,UAH
KHG,Kashi,KHG,Kashi,China,CNY
KHH,Kaohsiung Int'l,KHH,Kaohsiung,Taiwan,TWD
KHI,Quaid-e-Azam Int'l,KHI,Karachi,Pakistan,PKR
KHN,Nanchang,KHN,Nanchang,China,CNY
KHS,Khasab,KHS,Khasab,Oman,OMR
KHT,Khost,KHT,Khost,Afghanistan,AFN
KHV,Novy,KHV,Khabarovsk,Russian Federation,RUB
KHW,Khwai River Lodge,KHW,Khwai River Lodge,Botswana,BWP
KID,Kristianstad,KID,Kristianstad,Sweden,SEK
KIF,Kingfisher Lake,KIF,Kingfisher Lake,Canada,CAD
KIH,Kish Island,KIH,Kish Island,Iran,IRR
KIJ,Niigata,KIJ,Niigata,Japan,JPY
KIM,Kimberley,KIM,Kimberley,South Africa,ZAR
KIN,Norman Manley,KIN,Kingston,Jamaica,JMD
KTP,Tinson,KIN,Kingston,Jamaica,JMD
KIO,Kili Island,KIO,Kili Island,Marshall Islands,USD
KIQ,Kira,KIQ,Kira,Papua New Guinea,PGK
KIR,Kerry County,KIR,Kerry County,Ireland,EUR
KIS,Kisumu,KIS,Kisumu,Kenya,KES
KIT,Kithira,KIT,Kithira,Greece,EUR
KIV,Chisinau,KIV,Chisinau,Moldova,MDL
KJA,Krasnojarsk,KJA,Krasnojarsk,Russian Federation,RUB
KJR,Karlsruhe Central Station,KJR,Karlsruhe,Germany,EUR
KKA,Koyuk,KKA,Koyuk,United States,USD
KKB,Kitoi Bay,KKB,Kitoi Bay,United States,USD
KKC,Khon Kaen,KKC,Khon Kaen,Thailand,THB
KKD,Kokoda,KKD,Kokoda,Papua New Guinea,PGK
KKE,Kerikeri,KKE,Kerikeri,New Zealand,NZD
KKH,Kongiganak,KKH,Kongiganak,United States,USD
KKN,Hoeybuktmoen,KKN,Kirkenes,Norway,NOK
KKR,Kaukura Atoll,KKR,Kaukura Atoll,French Polynesia,XPF
KKU,Ekuk,KKU,Ekuk,United States,USD
KKX,Kikaiga Shima,KKX,Kikaiga Shima,Japan,JPY
KLC,Kaolack,KLC,Kaolack,Senegal,XOF
KLE,Kaele,KLE,Kaele,Cameroon,XAF
KLG,Kalskag Municipal,KLG,Kalskag,United States,USD
KLH,Kolhapur,KLH,Kolhapur,India,INR
KLL,Levelock,KLL,Levelock,United States,USD
KLO,Kalibo,KLO,Kalibo,Philippines,PHP
KLR,Kalmar,KLR,Kalmar,Sweden,SEK
KLT,Kaiserslautern Train Station,KLT,Kaiserslautern,Germany,EUR
KLU,Klagenfurt,KLU,Klagenfurt,Austria,EUR
KLV,Karlovy Vary Airport,KLV,Karlovy Vary,Czech Republic,CZK
KLW,Klawock,KLW,Klawock,United States,USD
KLX,Kalamata,KLX,Kalamata,Greece,EUR
KLZ,Kleinzee,KLZ,Kleinzee,South Africa,ZAR
KME,Kamembe,KME,Kamembe,Ruanda,RWF
KMG,Kunming,KMG,Kunming,China,CNY
KMI,Miyazaki,KMI,Miyazaki,Japan,JPY
KMJ,Kumamoto,KMJ,Kumamoto,Japan,JPY
KMK,Makabana,KMK,Makabana,Congo,CDF
KMM,Kimam,KMM,Kimam,Indonesia,IDR
KMP,J.G.H. Van Der Wath,KMP,Keetmanshoop,Namibia,NAD
KMQ,Komatsu,KMQ,Komatsu,Japan,JPY
KMS,Kumasi,KMS,Kumasi,Ghana,GHS
KMU,Kismayu,KMU,Kismayu,Somalia,SOS
KMV,Kalemyo,KMV,Kalemyo,Myanmar,MMK
KMY,Moser Bay,KMY,Moser Bay,United States,USD
KND,Kindu,KND,Kindu,Congo (Rep. Dem.),CDF
KNG,Kaimana,KNG,Kaimana,Indonesia,IDR
KNH,Shang-Yi,KNH,Kinmen,Taiwan,TWD
KNJ,Kindamba,KNJ,Kindamba,Congo,CDF
KNK,Kakhonak,KNK,Kakhonak,United States,USD
KNN,Kankan,KNN,Kankan,Guinea,GNF
KNQ,Kone,KNQ,Kone,New Caledonia,XPF
KNS,King Island,KNS,King Island,Australia,AUD
KNU,Kanpur,KNU,Kanpur,India,INR
KNW,New Stuyahok,KNW,New Stuyahok,United States,USD
KNX,Kununurra,KNX,Kununurra,Australia,AUD
KOA,Keahole,KOA,Kona,United States,USD
KOB,Koutaba,KOB,Koutaba,Cameroon,XAF
KOC,Koumac,KOC,Koumac,New Caledonia,XPF
KOE,Eltari,KOE,Kupang,Indonesia,IDR
KOI,Kirkwall,KOI,Kirkwall,United Kingdom,GBP
KOJ,Kagoshima,KOJ,Kagoshima,Japan,JPY
KOK,Kruunupyy,KOK,Kokkola-Pietarsaari,Finland,EUR
KOO,Kongolo,KOO,Kongolo,Congo (Rep. Dem.),CDF
KOP,Nakhon Phanom Airport,KOP,Nakhon Phanom,Thailand,THB
KOS,KOS,KOS,Sihanoukville,Cambodia,KHR
KOT,Kotlik,KOT,Kotlik,United States,USD
KOU,Koulamoutou,KOU,Koulamoutou,Gabon,XAF
KOV,Kokchetau,KOV,Kokchetau,Kazakhstan,KZT
KOW,Ganzhou,KOW,Ganzhou,China,CNY
KPC,Port Clarence,KPC,Port Clarence,United States,USD
KPE,Yapsiei,KPE,Yapsiei,Papua New Guinea,PGK
KPI,Kapit,KPI,Kapit,Malaysia,MYR
KPO,Pohang,KPO,Pohang,South Korea,KRW
KPS,Kempsey,KPS,Kempsey,Australia,AUD
KQA,Akutan,KQA,Akutan,United States,USD
KQH,Kishangarh Airport,KQH,KISHANGARH,India,INR
KRB,Karumba,KRB,Karumba,Australia,AUD
KRE,Kirundo,KRE,Kirundo,Burundi,BIF
KRF,Kramfors,KRF,Kramfors,Sweden,SEK
KRI,Kikori,KRI,Kikori,Papua New Guinea,PGK
KRJ,Karawari,KRJ,Karawari,Papua New Guinea,PGK
KRK,John Paul11 Balice Int'l,KRK,Krakow,Poland,PLN
KRN,Kiruna,KRN,Kiruna,Sweden,SEK
KRO,Kurgan,KRO,Kurgan,Russian Federation,RUB
KRP,Karup,KRP,Karup,Denmark,DKK
KRR,Krasnodar,KRR,Krasnodar,Russian Federation,RUB
KRS,Kjevik,KRS,Kristiansand,Norway,NOK
KRT,Khartoum Civil,KRT,Khartoum,Sudan,SDG
KRV,Kerio Valley,KRV,Kerio Valley,Kenya,KES
KRW,Krasnowodsk,KRW,Krasnowodsk,Turkmenistan,TMM
KRX,Kar Kar,KRX,Kar Kar,Papua New Guinea,PGK
KSA,Kosrae,KSA,Kosrae,Micronesia,USD
KSC,Barca,KSC,Kosice,Slovakia,SKK
KSD,Karlstad,KSD,Karlstad,Sweden,SEK
KSE,Kasese,KSE,Kasese,Uganda,UGX
KSF,Kassel Calden Airport,KSF,Kassel,Germany,EUR
KSH,Bakhtaran,KSH,Bakhtaran,Iran,IRR
KSI,Kissidougou,KSI,Kissidougou,Guinea,GNF
KSJ,Kasos Island,KSJ,Kasos Island,Greece,EUR
KSL,Kassala,KSL,Kassala,Sudan,SDG
KSM,Saint Marys,KSM,Saint Marys,United States,USD
KSN,Kostanay,KSN,Kostanay,Kazakhstan,KZT
KSO,Aristoteles,KSO,Kastoria,Greece,EUR
KSQ,Karshi,KSQ,Karshi,Uzbekistan,UZS
KSS,Sikasso,KSS,Sikasso,Mali,XOF
KSU,Kvernberget,KSU,Kristiansund,Norway,NOK
KSY,Kars,KSY,Kars,Turkey,TRY
KTA,Karratha,KTA,Karratha,Australia,AUD
KTB,Thorne Bay,KTB,Thorne Bay,United States,USD
KTC,Katiola,KTC,Katiola,Ivory Coast,
KTD,Kitadaito,KTD,Kitadaito,Japan,JPY
KTE,Kerteh,KTE,Kerteh,Malaysia,MYR
KTG,Ketapang,KTG,Ketapang,Indonesia,IDR
KTL,Kitale,KTL,Kitale,Kenya,KES
KTM,Tribhuvan,KTM,Kathmandu,Nepal,NPR
KTN,Ketchikan int'l,KTN,Ketchikan,United States,USD
KTR,Tindal,KTR,Katherine,Australia,AUD
KTS,Brevig Mission,KTS,Teller Mission,United States,USD
KTT,Kittila,KTT,Kittila,Finland,EUR
KTU,Kota,KTU,Kota,India,INR
KTW,Pyrzowice,KTW,Katowice,Poland,PLN
KTX,Koutiala,KTX,Koutiala,Mali,XOF
KUA,Kuantan,KUA,Kuantan,Malaysia,MYR
KUC,Kuria,KUC,Kuria,Kiribati,AUD
KUD,Kudat,KUD,Kudat,Malaysia,MYR
KUF,Samara,KUF,Samara,Russian Federation,RUB
KUG,Kubin Island,KUG,Kubin Island,Australia,AUD
KUH,Kushiro,KUH,Kushiro,Japan,JPY
KUK,Kasigluk,KUK,Kasigluk,United States,USD
KUL,Kuala Lum Intl.,KUL,Kualalumpur,Malaysia,MYR
SZB,SULTAN ABDUL AZIZ SHAH,KUL,Kualalumpur,Malaysia,MYR
KUM,Yakushima,KUM,Yakushima,Japan,JPY
KUN,Kaunas,KUN,Kaunas,Lithuania,LTL
KUO,Kuopio,KUO,Kuopio,Finland,EUR
KUP,Kupiano,KUP,Kupiano,Papua New Guinea,PGK
KUS,Kulusuk,KUS,Kulusuk,Greenland,DKK
KUT,Kutaisi,KUT,Kutaisi,Georgia,GEL
KUU,Bhuntar,KUU,Kulu,India,INR
KVA,Megas Alexandros,KVA,Kavala,Greece,EUR
KVB,Skovde,KVB,Skovde,Sweden,SEK
KVC,King Cove,KVC,King Cove,United States,USD
KVG,Kavieng,KVG,Kavieng,Papua New Guinea,PGK
KVK,Kirovsk,KVK,Kirovsk,Russian Federation,RUB
KVL,Kivalina,KVL,Kivalina,United States,USD
KVX,Kirov,KVX,Kirov,Russian Federation,RUB
KWA,Kwajalein,KWA,Kwajalein,Marshall Islands,USD
KWE,Guiyang,KWE,Guiyang,China,CNY
KWG,Krivoy Rog,KWG,Krivoy Rog,Ukraine,UAH
KWH,Khwahan,KWH,Khwahan,Afghanistan,AFN
KWI,Kuwait Int'l,KWI,Kuwait City,Kuwait,KWD
KWJ,Kwangju,KWJ,Kwangju,South Korea,KRW
KWK,Kwigillingok,KWK,Kwigillingok,United States,USD
KWL,Guilin,KWL,Guilin,China,CNY
KWM,Kowanyama,KWM,Kowanyama,Australia,AUD
KWN,Kwinhagak,KWN,Quinhagak,United States,USD
KWT,Kwethluk,KWT,Kwethluk,United States,USD
KWY,Kiwayu,KWY,Kiwayu,Kenya,KES
KYA,Konya,KYA,Konya,Turkey,TRY
KYD,Orchid Island,KYD,Orchid Island,Taiwan,TWD
KYE,Kleyate,KYE,Tripoli,Lebanon,LBP
KYK,Karluk,KYK,Karluk,United States,USD
KYP,Kyaukpyu,KYP,Kyaukpyu,Myanmar,MMK
KYS,Kayes,KYS,Kayes,Mali,XOF
KYU,Koyukuk,KYU,Koyukuk,United States,USD
KYX,Yalumet,KYX,Yalumet,Papua New Guinea,PGK
KYZ,Kyzyl,KYZ,Kyzyl,Russian Federation,RUB
KZF,Kaintiba,KZF,Kaintiba,Papua New Guinea,PGK
KZI,Philippos,KZI,Kozani,Greece,EUR
KZN,Kazan,KZN,Kazan,Russian Federation,RUB
KZO,Kyzylorda Airport,KZO,Kzyl Orda,Kazakhstan,KZT
KZR,Kutahya Zafer Airport,KZR,Kutahya,Turkey,TRY
KZS,Kastelorizo,KZS,Kastelorizo,Greece,EUR
LAA,Lamar Field,LAA,Lamar,United States,USD
LAB,Lablab,LAB,Lablab,Papua New Guinea,PGK
LAD,4 De Fevereiro,LAD,Luanda,Angola,AOA
LAE,Nadzab,LAE,Lae,Papua New Guinea,PGK
LAF,Purdue University,LAF,Lafayette,United States,USD
LAH,Labuha,LAH,Labuha,Indonesia,IDR
LAI,Servel,LAI,Lannion,France,EUR
LAJ,Lages,LAJ,Lages,Brazil,BRL
LAK,Aklavik,LAK,Aklavik,Canada,CAD
LAM,Los Alamos,LAM,Los Alamos,United States,USD
LAN,Capital City,LAN,Lansing,United States,USD
LAO,Laoag Int Airport,LAO,Laoag,Philippines,PHP
LAP,Leon,LAP,La Paz,Mexico,MXN
LAQ,La Braq,LAQ,Beida,Libyan Arab Jamahiriya,LYD
LAR,General Brees Field,LAR,Laramie,United States,USD
LAS,Mccarran Int'l,LAS,Las Vegas,United States,USD
LAT,La Uribe,LAT,La Uribe,Colombia,COP
LAU,Lamu,LAU,Lamu,Kenya,KES
LAW,Lawton Municipal,LAW,Lawton,United States,USD
LAX,Los Angeles Int'l,LAX,Los Angeles,United States,USD
LAY,Ladysmith,LAY,Ladysmith,South Africa,ZAR
LAZ,Bom Jesus Da Lapa,LAZ,Bom Jesus Da Lapa,Brazil,BRL
LBA,Leeds/Bradford,LBA,Leeds,United Kingdom,GBP
LBB,Lubbock Int'l,LBB,Lubbock,United States,USD
LBD,Khudzhand Khujand Airport,LBD,Khudzand,Tajikistan,TJS
LBE,Westmoreland County,LBE,Latrobe,United States,USD
LBF,Lee Bird Field,LBF,North Platte,United States,USD
LBI,Le Sequestre,LBI,Albi,France,EUR
LBJ,Mutiara,LBJ,Labuan Bajo,Indonesia,IDR
LBL,Liberal Municipal,LBL,Liberal,United States,USD
LBQ,Lambarene,LBQ,Lambarene,Gabon,XAF
LBR,Labrea Airport,LBR,Labrea,Brazil,BRL
LBS,Labasa,LBS,Labasa,Fiji Islands,FJD
LBT,LUMBERTON,LBT,Lumberton,United States,USD
LBU,Labuan,LBU,Labuan,Malaysia,MYR
LBV,Libreville,LBV,Libreville,Gabon,XAF
LBW,Long Bawan,LBW,Long Bawan,Indonesia,IDR
LCA,Larnaca,LCA,Larnaca,Cyprus,CYP
LCB,Pontes E Lacerda,lcb,Pontes E Lacerda,Brazil,BRL
LCD,Louis Trichardt,LCD,Louis Trichardt,South Africa,ZAR
LCE,Goloson Int'l,LCE,La Ceiba,Honduras,HNL
LCG,La Coruna,LCG,La Coru±a,Spain,EUR
LCH,Lake Charles Municipal,LCH,Lake Charles,United States,USD
LCI,Laconia Municipal,LCI,Laconia,United States,USD
LCJ,Wladyslaw Reymont,LCJ,Lodz,Poland,PLN
LCL,La Coloma,LCL,La Coloma,Cuba,CUP
LCO,Lague,LCO,Lague,Congo,CDF
LCR,La Chorrera,LCR,La Chorrera,Colombia,COP
LDA,Malda,LDA,Malda,India,INR
LDB,Londrina,LDB,Londrina,Brazil,BRL
LDC,Lindeman Island,LDC,Lindeman Island,Australia,AUD
LDE,Lourdes Tarbes Int'l,LDE,Lourdes Tarbes,France,EUR
LDH,Lord Howe Island,LDH,Lord Howe Island,Australia,AUD
LDI,Kikwetu,LDI,Lindi,Tanzania,TZS
LDK,Hovby,LDK,Lidkoping,Sweden,SEK
LDU,Lahad Datu,LDU,Lahad Datu,Malaysia,MYR
LDY,Eglinton,LDY,Londonderry,United Kingdom,GBP
LEA,Learmonth,LEA,Learmonth,Australia,AUD
LEB,Lebanon Rgnl,LEB,Lebanon,United States,USD
LEC,Lencois Airport,LEC,Lencoise,Brazil,BRL
LED,Pulkovo,LED,St Petersburg,Russian Federation,RUB
LEH,Octeville,LEH,Le Havre,France,EUR
LEI,Almeria,LEI,Almeria,Spain,EUR
LEJ,Leipzig,LEJ,Leipzig,Germany,EUR
LEK,Labe,LEK,Labe,Guinea,GNF
LEL,Lake Evella,LEL,Lake Evella,Australia,AUD
LEM,Lemmon,LEM,Lemmon,United States,USD
LEN,Leon,LEN,Leon,Spain,EUR
LER,Leinster,LER,Leinster,Australia,AUD
LES,Lesobeng,LES,Lesobeng,Lesotho,LSL
LET,Leticia,LET,Leticia,Colombia,COP
LEV,Levuka Airfield,LEV,Bureta,Fiji Islands,FJD
LEX,Blue Grass,LEX,Lexington,United States,USD
LFR,La Fria,LFR,La Fria,Venezuela,VEF
LFW,Lome,LFW,Lome,Togo,XOF
LGB,Long Beach Municipal,LGB,Long Beach,United States,USD
LGG,Bierset,LGG,Liege,Belgium,EUR
LGH,Leigh Creek,LGH,Leigh Creek,Australia,AUD
LGI,Deadmans Cay,LGI,Deadmans Cay,Bahamas,BSD
LGK,Langkawi,LGK,Langkawi,Malaysia,MYR
LGL,Long Lellang,LGL,Long Lellang,Malaysia,MYR
LGP,Legaspi,LGP,Legaspi,Philippines,PHP
LGQ,Lago Agrio,LGQ,Lago Agrio,Ecuador,USD
LGU,Logan - Cache Airport,LGU,Logan,United States,USD
LGZ,Leguizamo,LGZ,Leguizamo,Colombia,COP
LHE,Lahore,LHE,Lahore,Pakistan,PKR
LHI,Lereh,LHI,Lereh,Indonesia,IDR
LHW,,LHW,Lanzhou,China,CNY
LIF,Lifou,LIF,Lifou,New Caledonia,XPF
LIG,Bellegarde,LIG,Limoges,France,EUR
HPV,Princeville,LIH,Kauai Island,United States,USD
LIH,Lihue,LIH,Kauai Island,United States,USD
LII,Mulia,LII,Mulia,Indonesia,IDR
LIJ,Long Island,LIJ,Long Island,United States,USD
LIK,Likiep Island,LIK,Likiep Island,Marshall Islands,USD
LIL,Lesquin,LIL,Lille,France,EUR
LIM,J Chavez Int'l,LIM,Lima,Peru,PEN
LIP,Lins,LIP,Lins,Brazil,BRL
LIQ,Lisala,LIQ,Lisala,Congo (Rep. Dem.),CDF
LIR,Liberia,LIR,Liberia,Costa Rica,CRC
LIS,Lisboa,LIS,Lisbon,Portugal,EUR
LIT,Little Rock Regional,LIT,Little Rock,United States,USD
LIW,Loikaw,LIW,Loikaw,Myanmar,MMK
LJA,Lodja,LJA,Lodja,Congo (Rep. Dem.),CDF
LJG,,LJG,Lijiang,China,CNY
LJU,Brnik,LJU,Ljubljana,Slovenia,EUR
LKA,Larantuka,LKA,Larantuka,Indonesia,IDR
LKB,Lakeba,LKB,Lakeba,Fiji Islands,FJD
LKL,Banak,LKL,Lakselv,Norway,NOK
LKN,Leknes,LKN,Leknes,Norway,NOK
LKO,Amausi,LKO,Lucknow,India,INR
LLA,Kallax,LLA,Lulea,Sweden,SEK
LLI,Lalibela,LLI,Lalibela,Ethiopia,ETB
LLN,Kelila,LLN,Kelila,Indonesia,IDR
LLW,Kamuzu Int'l,LLW,Lilongwe,Malawi,MWK
LMA,Lake Minchumina,LMA,Lake Minchumina,United States,USD
LMB,Salima,LMB,Salima,Malawi,MWK
LMC,Lamacarena,LMC,Lamacarena,Colombia,COP
LMI,Lumi,LMI,Lumi,Papua New Guinea,PGK
LML,Lae Island,LML,Lae Island,Marshall Islands,USD
LMM,Federl,LMM,Los Mochis,Mexico,MXN
LMN,Limbang,LMN,Limbang,Malaysia,MYR
LMP,Lampedusa,LMP,Lampedusa,Italy,EUR
LMT,Kinsley Field,LMT,Klamath Falls,United States,USD
LMX,Lopez De Micay,LMX,Lopez De Micay,Colombia,COP
LMY,Lake Murray,LMY,Lake Murray,Papua New Guinea,PGK
LNB,Lamen Bay,LNB,Lamen Bay,Vanuatu,VUV
LNE,Lonorore,LNE,Lonorore,Vanuatu,VUV
LNF,Munbil,LNF,Munbil,Papua New Guinea,PGK
LNK,Lincoln Municipal,LNK,Lincoln,United States,USD
LNO,Leonora,LNO,Leonora,Australia,AUD
LNS,Lancaster,LNS,Lancaster,United States,USD
LNY,Lanai City,LNY,Lanai City,United States,USD
LNZ,Hoersching,LNZ,Linz,Austria,EUR
LOD,Longana,LOD,Longana,Vanuatu,VUV
LOE,Loei,LOE,Loei,Thailand,THB
LOF,Loen,LOF,Loen,Marshall Islands,USD
LOH,Loja,LOH,Loja,Ecuador,USD
LOK,Lodwar,LOK,Lodwar,Kenya,KES
LCY,London City Apt,LON,London,United Kingdom,GBP
LGW,Gatwick,LON,London,United Kingdom,GBP
LHR,Heathrow,LON,London,United Kingdom,GBP
LTN,Luton Airport,LON,London,United Kingdom,GBP
STN,Stansted,LON,London,United Kingdom,GBP
LOP,Lombok,LOP,Lombok,Indonesia,IDR
LOS,Murtala Muhammed,LOS,Lagos,Nigeria,NGN
LOW,LOUISA,LOW,Louisa,United States,USD
LOY,Loyangalani,LOY,Loyangalani,Kenya,KES
LPA,Las Palmas,LPA,Gran Canaria,Spain,EUR
LPB,El Alto,LPB,La Paz,Bolivia,BOB
LPD,La Pedrera,LPD,La Pedrera,Colombia,COP
LPE,La Primavera,LPE,La Primavera,Colombia,COP
LPG,La Plata,LPG,La Plata,Argentina,ARS
LPI,Linkoping,LPI,Linkoping,Sweden,SEK
LPL,Liverpool Int'l,LPL,Liverpool,United Kingdom,GBP
LPM,Lamap,LPM,Lamap,Vanuatu,VUV
LPP,Lappeenranta,LPP,Lappeenranta,Finland,EUR
LPQ,Luang Prabang,LPQ,Luang Prabang,Lao People's Democratic Republic,LAK
LPS,Lopez Island,LPS,Lopez Island,United States,USD
LPT,Lampang,LPT,Lampang,Thailand,THB
LPU,Long Apung,LPU,Long Apung,Indonesia,IDR
LPW,Little Port Walte,LPW,Little Port Walte,United States,USD
LPX,Liepaja Intl Airport,LPX,Liepaya,Latvia,LVL
LPY,Loudes,LPY,Le Puy,France,EUR
LQN,Qala Nau,LQN,Qala Nau,Afghanistan,AFN
LRA,Larisa,LRA,Larisa,Greece,EUR
LRB,Leribe,LRB,Leribe,Lesotho,LSL
LRD,Laredo Int'l,LRD,Laredo,United States,USD
LRE,Longreach,LRE,Longreach,Australia,AUD
LRH,Laleu,LRH,La Rochelle,France,EUR
LRM,La Romana,LRM,La Romana,Dominican Republic,DOP
LRR,Lar airport,LRR,LAR,Iran,IRR
LRS,Leros,LRS,Leros,Greece,EUR
LRT,Lann Bihoue,LRT,Lorient,France,EUR
LRU,Las Cruces Municipal,LRU,Las Cruces,United States,USD
LRV,Los Roques,LRV,Los Roques,Venezuela,VEF
LSA,Losuia,LSA,Losuia,Papua New Guinea,PGK
LSC,La Florida,LSC,La Serena,Chile,CLP
LSE,La Crosse Municipal,LSE,La Crosse,United States,USD
LSH,Lashio,LSH,Lashio,Myanmar,MMK
LSM,Lawas,LSM,Long Semado,Malaysia,MYR
LSP,Josefa Camejo,LSP,Las Piedras,Venezuela,VEF
LSQ,Los Angeles,LSQ,Los Angeles,Chile,CLP
LSS,Terre De Haut,LSS,Terre De Haut,Guadeloupe,EUR
LST,Launceston,LST,Launceston,Australia,AUD
LSW,Lhoksumawe,LSW,Lhoksumawe,Indonesia,IDR
LSY,Lismore,LSY,Lismore,Australia,AUD
LTD,Ghadames,LTD,Ghadames,Libyan Arab Jamahiriya,LYD
LTK,Latakia,LTK,Latakia,Syrian Arab Republic,SYP
LTL,Lastourville,LTL,Lastourville,Gabon,XAF
LTO,Loreto,LTO,Loreto,Mexico,MXN
LTQ,Le Touquet,LTQ,Le Touquet,France,EUR
LTT,St Tropez du Golfe Airport,LTT,Saint Tropez,France,EUR
ltu,LATUR,ltu,latur,India,INR
LUA,Lukla,LUA,Lukla,Nepal,NPR
LUD,Luderitz,LUD,Luderitz,Namibia,NAD
LUG,Lugano,LUG,Lugano,Switzerland,CHF
LUH,Ludhiana,LUH,Ludhiana,India,INR
